
13:48:22.830482,   total files: 5,  size: 1M,   proc load: 1.05 0.61 0.65 1/951 7889
13:48:22.900651,   total files: 5,  size: 1M,   proc load: 1.05 0.61 0.65 1/951 7907
13:48:23.040133,   total files: 5,  size: 1M,   proc load: 1.05 0.61 0.65 1/951 7932
13:48:23.201421,   total files: 5,  size: 1M,   proc load: 1.05 0.61 0.65 2/951 7965
13:48:23.216922,   total files: 5,  size: 1M,   proc load: 1.05 0.61 0.65 2/951 7969
13:48:23.232748,   total files: 5,  size: 1M,   proc load: 1.05 0.61 0.65 1/951 7973
13:48:23.800431,   total files: 5,  size: 1M,   proc load: 1.05 0.61 0.65 1/951 7979
13:48:23.957323,   total files: 5,  size: 1M,   proc load: 1.05 0.61 0.65 2/951 8010
13:48:24.145830,   total files: 5,  size: 1M,   proc load: 1.05 0.61 0.65 1/951 8052
13:48:24.562390,   total files: 5,  size: 1M,   proc load: 1.05 0.61 0.65 2/951 8086
13:49:18.520353,   total files: 5,  size: 1M,   proc load: 0.62 0.58 0.64 1/954 8122
13:49:18.587962,   total files: 5,  size: 1M,   proc load: 0.62 0.58 0.64 1/954 8140
13:49:18.729514,   total files: 5,  size: 1M,   proc load: 0.62 0.58 0.64 1/954 8165
13:49:18.890214,   total files: 5,  size: 1M,   proc load: 0.62 0.58 0.64 1/954 8198
13:49:18.905488,   total files: 5,  size: 1M,   proc load: 0.62 0.58 0.64 4/954 8202
13:49:18.923925,   total files: 5,  size: 1M,   proc load: 0.62 0.58 0.64 2/954 8206
13:49:19.484931,   total files: 5,  size: 1M,   proc load: 0.62 0.58 0.64 1/954 8212
13:49:19.643339,   total files: 5,  size: 1M,   proc load: 0.62 0.58 0.64 1/954 8243
13:49:19.829503,   total files: 5,  size: 1M,   proc load: 0.62 0.58 0.64 1/954 8285
13:49:20.240333,   total files: 5,  size: 1M,   proc load: 1.05 0.67 0.66 3/954 8319
13:49:25.177580,   total files: 5,  size: 1M,   proc load: 1.21 0.71 0.68 1/955 8344
13:49:25.255613,   total files: 5,  size: 1M,   proc load: 1.21 0.71 0.68 1/955 8362
13:49:25.395550,   total files: 5,  size: 1M,   proc load: 1.21 0.71 0.68 1/955 8387
13:49:25.560269,   total files: 5,  size: 1M,   proc load: 1.21 0.71 0.68 1/954 8420
13:49:25.577978,   total files: 5,  size: 1M,   proc load: 1.21 0.71 0.68 7/954 8424
13:49:25.595427,   total files: 5,  size: 1M,   proc load: 1.21 0.71 0.68 1/954 8428
13:49:26.169177,   total files: 5,  size: 1M,   proc load: 1.21 0.71 0.68 1/954 8434
13:49:26.334230,   total files: 5,  size: 1M,   proc load: 1.21 0.71 0.68 1/954 8465
13:49:26.520239,   total files: 5,  size: 1M,   proc load: 1.21 0.71 0.68 1/954 8507
13:49:26.946452,   total files: 5,  size: 1M,   proc load: 1.21 0.71 0.68 1/954 8541
